maximin_lfc,Bm1,Bm5,sorted_GC,sorted_Pre_GC
391,NA,NA,G3BP1,NUBP2
392,NA,NA,CKAP2,GNAS
393,NA,NA,COMMD8,PTTG1IP
394,NA,NA,PSMD1,ATP6V0B
395,NA,NA,EXOSC9,RAB18
396,NA,NA,PPM1G,SUCO
397,NA,NA,FGD6,GOLGA4
398,NA,NA,SIAH2,ZBTB38
399,NA,NA,PHB2,PIGT
400,NA,NA,NSMCE1,SAT1
